ecfp_distance,ngf_distance
0.90178573,0.7586207
0.8715596,0.50590205
0.8848921,0.6871892
0.9212598,0.7
0.9,0.6734694
0.9237288,0.64705884
0.8901099,0.3380282
0.6831683,0.4081638
0.79710144,0.52459013
0.8811881,0.5432099
0.4516129,0.37113404
0.87628865,0.59574467
0.82828283,0.4285714
0.84347826,0.59615386
0.8469388,0.5976026
0.6576576,0.3119266
0.78787875,0.46666664
0.85593224,0.53999996
0.91071427,0.47727275
0.9059829,0.54347825
0.84761906,0.52873564
0.42682928,0.31707317
0.7570093,0.48984504
0.920354,0.6111111
0.69911504,0.39682537
0.39999998,0.15625
0.8018868,0.48351645
0.8021978,0.4391961
0.8888889,0.6285714
0.85833335,0.45838457
0.84347826,0.4082862
0.6826923,0.5084772
0.8913044,0.7012987
0.8596491,0.60000014
0.72477067,0.43859774
0.3943662,0.09375
0.8596491,0.49438202
0.8659794,0.59536576
0.82300884,0.32941175
0.8956522,0.6095238
0.8666667,0.441252
0.9166667,0.66019416
0.9090909,0.4235294
0.8139535,0.375
0.7647059,0.4166667
0.85858583,0.52396804
0.88617885,0.55357134
0.88990825,0.4500618
0.86021507,0.5000664
0.96,0.5090909
0.69642854,0.46296364
0.78313255,0.49333686
0.83,0.48717946
0.7734375,0.43636364
0.88793105,0.6787681
0.8888889,0.44776118
0.84126985,0.6721312
0.8018018,0.5491479
0.89344263,0.5192308
0.84466016,0.35443038
0.9153846,0.44660193
0.8318584,0.4752475
0.84210527,0.39473683
0.35789472,0.3076923
0.7073171,0.2972973
0.89285713,0.6534654
0.8956522,0.6122449
0.86585367,0.7631579
0.9032258,0.56790125
0.7631579,0.41791046
0.82905984,0.5854696
0.8818182,0.5252525
0.88073397,0.64561975
0.88617885,0.53999996
0.86178863,0.6296296
0.6231884,0.43478262
0.814433,0.4325
0.73214287,0.38333333
0.8818182,0.48351645
0.86021507,0.4060055
0.83064514,0.45838457
0.88372093,0.375
0.8938053,0.64444447
0.8942308,0.4705882
0.8244275,0.42730463
0.6595745,0.45838457
0.67368424,0.30379748
0.72477067,0.5333333
0.87068963,0.4222222
0.91735536,0.6976744
0.6666666,0.39285713
0.8854962,0.6166667
0.6419753,0.3783784
0.546875,0.38709676
0.8956522,0.7
0.6097561,0.39999998
0.8738739,0.56179774
0.89830506,0.5274725
0.8648649,0.5376344
0.8613139,0.4684685
0.8828829,0.6240635
0.92105263,0.5
0.88659793,0.45569623
0.8677686,0.5586759
0.86419755,0.42424244
0.88,0.53932583
0.39130437,0.18181819
0.90082645,0.53846157
0.8076923,0.43137264
0.8989899,0.4500618
0.7912088,0.45652175
0.872549,0.55421686
0.8586956,0.61176467
0.91071427,0.6041666
0.61290324,0.46153843
0.9223301,0.59340656
0.86399996,0.5633179
0.8869565,0.57407403
0.7850467,0.5607476
0.53535354,0.31914896
0.6952381,0.49999875
0.90839696,0.62830603
0.76666665,0.51785713
0.8586956,0.5479452
0.8888889,0.57142854
0.9090909,0.44736844
0.8030303,0.43636364
0.7752809,0.4385491
0.91150445,0.5625
0.6821705,0.4695652
0.8608696,0.44705898
0.92727274,0.53932583
0.9366197,0.8151659
0.9101124,0.52380955
0.84615386,0.45652175
0.8703704,0.45828015
0.8773585,0.55172414
0.8811881,0.53932583
0.86567163,0.66233766
0.7692308,0.5
0.9292035,0.57142854
0.8333333,0.5
0.31666666,0.1875
0.9140625,0.45360816
0.88461536,0.5609756
0.8989899,0.67368424
0.9368421,0.76785713
0.95604396,0.6666666
0.8971963,0.68745637
0.78947365,0.46153843
0.775,0.6588235
0.83064514,0.509434
0.8854167,0.36363637
0.5280899,0.40425533
0.815534,0.51700425
0.8918919,0.5918826
0.92783505,0.6436782
0.8487395,0.53846157
0.8064516,0.43564367
0.7714286,0.4745763
0.84615386,0.4705882
0.9026549,0.622206
0.76404494,0.32858324
0.7373737,0.30588233
0.9,0.61904764
0.84615386,0.4616719
0.8943089,0.68333334
0.892562,0.52
0.7350427,0.5254636
0.90217394,0.4324324
0.4814815,0.2631579
0.8981482,0.6136364
0.86315787,0.6521739
0.7428571,0.4175824
0.88297874,0.3783784
0.77227724,0.47831362
0.8640777,0.5058019
0.8611111,0.44444442
0.9026549,0.6590909
0.8543689,0.5523809
0.875,0.57999784
0.89320385,0.56793547
0.8653846,0.60562
0.89215684,0.5432099
0.8604651,0.5299145
0.8292683,0.5675676
0.8333333,0.575
0.88349515,0.5680822
0.5631068,0.3859679
0.8265306,0.43931246
0.8488372,0.4705882
0.91071427,0.41237116
0.84466016,0.55813956
0.8125,0.49541283
0.48275864,0.40860218
0.8105263,0.41463417
0.8598131,0.4705884
0.8712871,0.35897434
0.8275862,0.48979592
0.9032258,0.4468612
0.85858583,0.25352114
0.84375,0.43835616
0.90510947,0.7058823
0.92134833,0.55
0.8333333,0.4948454
0.94392526,0.52272725
0.8229167,0.47500002
0.87,0.40579712
0.86607146,0.59627557
0.8333333,0.48439163
0.8965517,0.6258664
0.8938053,0.5769231
0.8584071,0.5894737
0.88617885,0.3888889
0.8606557,0.5862069
0.9223301,0.51546395
0.9206349,0.4516129
0.8347826,0.42324865
0.9142857,0.5136947
0.875,0.58939934
0.73949575,0.37623763
0.8785047,0.50526315
0.9019608,0.6137785
0.5858586,0.375
0.8148148,0.42622954
0.8877551,0.39999998
0.9306931,0.60465115
0.9186047,0.5974026
