ecfp_distance,ngf_distance
0.91935486,0.95333296
0.969697,0.96428573
0.8648649,0.97262543
1.0,0.95652175
1.0,1.0
1.0,0.9714286
0.8888889,0.875
0.95238096,0.974359
1.0,1.0
0.875,0.8064517
0.84615386,0.8422216
1.0,0.973492
0.8181818,0.85722715
0.89361703,0.7801573
0.90697676,0.94545454
0.95238096,0.9285714
0.9,0.8253968
0.972973,1.0
0.9322034,0.965487
0.92105263,0.8946145
0.8831169,0.8416646
0.84615386,0.9
0.9090909,0.8648652
0.8679245,0.85709304
0.9230769,0.9411765
0.95652175,0.9565514
0.89285713,0.9047619
0.8181818,0.84210527
1.0,0.96
0.84210527,0.8152117
1.0,1.0
0.98507464,1.0
0.8888889,0.9259259
0.87234044,0.96153843
0.8333333,0.81392485
0.9189189,0.9142857
0.975,1.0
0.9787234,0.94524103
0.8148148,0.8387097
0.9268293,0.9756098
0.95652175,0.8888889
0.9318182,0.9491525
0.8113208,0.86956525
0.7916667,0.907648
0.890625,0.77888715
1.0,0.9767442
0.95652175,1.0
0.9056604,0.88235295
0.97727275,0.94736844
0.92,0.97959185
0.85714287,0.8333333
0.9459459,0.9268293
0.88709676,0.88347685
0.9,0.962963
0.9807692,0.9999998
0.88372093,0.875
0.8979592,0.7638607
0.89361703,0.75
0.9705882,0.95
0.9259259,0.96153843
0.925,0.897388
0.875,0.9090909
1.0,0.962963
0.735849,0.7714384
0.9722222,1.0
0.9130435,0.93940514
0.9245283,0.964257
0.96774197,0.9756098
0.9411765,0.96428573
0.974359,0.9230962
0.9818182,0.9876543
0.95454544,1.0
0.96,0.9655172
0.84000003,0.9431224
0.92,0.9090909
1.0,1.0
1.0,1.0
0.90384614,0.85712093
0.9183673,0.8979641
0.94545454,0.9014057
0.9574468,0.9600071
0.9090909,0.95
0.9583333,0.9722222
0.8979592,0.97959185
0.87234044,0.85714287
0.890625,0.83175015
0.9318182,0.92793894
0.96428573,0.9113914
0.8604651,0.81453675
0.8965517,0.9142857
0.9512195,0.9777778
1.0,0.9630177
0.94,0.8980547
0.8923077,0.89852464
0.6818182,0.7
0.8913044,0.9362478
1.0,0.94736844
0.8378378,0.78337216
0.94736844,0.9268293
0.88135594,0.8747902
0.9459459,0.9830508
0.9714286,1.0
0.8064516,0.888164
0.9285714,0.7924528
1.0,1.0
0.8717949,0.8367997
0.8139535,0.7626301
0.93939394,0.97959185
0.8888889,0.9361702
0.9722222,1.0
0.8717949,0.87138397
1.0,0.95238096
0.96153843,0.96
0.96428573,0.96875
0.7586207,0.71706283
0.9230769,0.8947368
0.93333334,0.9142857
0.94827586,0.9677419
0.84810126,0.8809491
0.89285713,0.9206349
0.7083334,0.7835406
0.9722222,0.9142857
1.0,0.9508197
0.96428573,1.0
1.0,0.95822334
0.8,0.7766813
0.8181818,0.89655185
0.95652175,1.0
0.8947368,0.895132
0.9285714,0.9032258
0.8787879,0.93940365
0.9019608,0.92251253
0.88372093,0.7504286
0.88095236,0.8979592
0.8717949,0.8518516
0.8787879,0.8029915
1.0,1.0
0.7837838,0.77347726
0.78571427,0.55085224
0.877551,0.8627451
0.7619048,0.93664026
0.96875,1.0
0.9746835,0.94736844
1.0,1.0
0.95348835,1.0
0.8780488,0.85
0.9375,0.86675596
0.953125,0.9069799
1.0,1.0
0.71428573,0.6666666
0.96666664,0.9615808
0.88235295,0.8809636
0.9310345,0.9411765
0.7647059,0.88
0.91803277,0.91803277
0.9777778,0.9090909
0.7777778,0.7826087
0.96666664,0.9885057
0.984127,0.95522386
1.0,1.0
0.8095238,0.8947368
0.9230769,1.0
0.82608694,0.8125
0.9583333,1.0
1.0,1.0
0.9285714,0.97619045
0.9230769,0.96284866
1.0,1.0
0.94736844,0.93333334
0.95652175,0.96
0.8888889,0.7790332
0.89552236,0.89712137
0.8717949,0.8888951
1.0,1.0
0.9411765,1.0
0.9756098,0.98039216
1.0,0.94797325
0.95384616,0.8958333
0.93333334,0.9056447
0.85714287,0.8965517
1.0,1.0
1.0,0.9714286
0.95,1.0
0.96774197,0.969697
0.9032258,0.863217
0.88235295,0.8997639
0.91803277,0.8810229
0.9558824,0.9324715
0.9736842,1.0
0.93877554,0.94666994
0.8787879,0.91991055
1.0,0.93877554
0.84126985,0.8767123
0.94736844,0.9489267
0.8148148,0.72934675
0.93333334,0.95238096
