ecfp_distance,ngf_distance
0.9082569,0.7346939
0.84615386,0.6764706
0.82894737,0.7018597
0.764151,0.48421055
0.7582418,0.5603915
0.78651685,0.70967746
0.86904764,0.6511628
0.8947368,0.7050375
0.87096775,0.6904762
0.86,0.6881752
0.8958333,0.8372093
0.92727274,0.7384615
0.92783505,0.74423635
0.9220779,0.6853117
0.2063492,0.123076916
0.8636364,0.67692304
0.8023256,0.5925925
0.82,0.56470966
0.91089106,0.7741935
0.84415585,0.691358
0.74390244,0.5925926
0.87234044,0.6399998
0.8666667,0.7446809
0.8433735,0.59574467
0.90588236,0.7816092
0.9051724,0.72268903
0.8640777,0.64646465
0.92941177,0.86956525
0.8453608,0.65979385
0.92941177,0.76744187
0.8791209,0.8081074
0.8795181,0.6363636
0.9259259,0.78947335
0.9263158,0.8619621
0.625,0.44444442
0.9230769,0.7816092
0.8958333,0.9122807
0.91463417,0.835443
0.88043475,0.74157304
0.8172043,0.6453966
0.9255319,0.8210526
0.9493671,0.8988764
0.91566265,0.68571424
0.9032258,0.8095238
0.9358974,0.81013
0.9264706,0.8115942
0.86915886,0.7010307
0.8468468,0.5233645
0.8608696,0.67857146
0.959596,0.848
0.75581396,0.53488374
0.8468468,0.62264144
0.7849462,0.62921333
0.9361702,0.73333335
0.89705884,0.8888889
0.8275862,0.68354416
0.877551,0.58228254
0.85542166,0.75609756
0.8478261,0.5869565
0.9247312,0.7441861
0.8275862,0.771026
0.90697676,0.7027027
0.8504673,0.6299393
0.88095236,0.65853655
0.88043475,0.665646
0.89041096,0.75
0.9230769,0.84337664
0.8956522,0.82539684
0.91764706,0.7505197
0.82828283,0.6666666
0.875,0.67415726
0.9493671,0.8764045
0.8636364,0.67437226
0.8969072,0.7045455
0.875,0.6730769
0.85714287,0.6349206
0.87323946,0.72727275
0.89041096,0.81081444
0.8586956,0.71428573
0.8235294,0.71428573
0.85714287,0.77922076
0.9125,0.6666666
0.9285714,0.7611196
0.8875,0.7407408
0.83928573,0.7307692
0.8627451,0.82142854
0.8584071,0.61855996
0.84615386,0.7073171
0.8163265,0.6808511
0.9705882,0.9051956
0.7692308,0.6153846
0.8888889,0.7186221
0.890625,0.74280316
0.92,0.8118811
0.93406594,0.8095238
0.91803277,0.8387097
0.9041096,0.55556154
0.85365856,0.6823529
0.8674699,0.6896552
0.86206895,0.5882384
0.88235295,0.74626863
0.8375,0.71052635
0.84615386,0.71428573
0.92156863,0.7741935
0.79746836,0.61904764
0.91150445,0.875
0.8974359,0.8604651
0.82051283,0.53452456
0.8875,0.8139535
0.8369565,0.7
0.9354839,0.73170733
0.85148513,0.6875
0.84615386,0.8163077
0.8918919,0.83116883
0.9104478,0.75000393
0.875,0.57142854
0.85294116,0.7605634
0.9324324,0.70967746
0.8767123,0.7692308
0.94505495,0.76540196
0.92957747,0.80555564
0.9117647,0.7761194
0.8607595,0.7529412
0.92156863,0.8172043
0.88461536,0.53037
0.90217394,0.74016
0.8426966,0.46153843
0.88235295,0.7581457
0.8369565,0.61855674
0.92391306,0.73170733
0.877551,0.70967746
0.9259259,0.8433735
0.9117647,0.8947368
0.8681319,0.7126437
0.78787875,0.77408147
0.9247312,0.7816092
0.8817204,0.78846157
0.877551,0.7446437
0.82568806,0.67272997
0.91463417,0.8636364
0.84444445,0.76288694
0.7912088,0.5652174
0.85321105,0.62626266
0.8229167,0.6804124
0.80851066,0.68912417
